City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,barquisimeto,10.0774,-69.3222,300.06,37,18,4.68,VE,1675115338
121,alyangula,-13.8509,136.4208,301.05,82,96,3.65,AU,1675115338
122,tsaratanana,-21.1802,47.6378,295.36,99,100,0.6,MG,1675115339
123,soyo,-6.1334,12.3718,299.11,82,69,3.16,AO,1675115339
124,louisbourg,45.9235,-59.9643,273.68,59,87,3.1,CA,1675115340
125,yakovlevka,54.2978,55.5486,264.07,90,100,6.09,RU,1675115340
126,melnikovo,54.8738,20.4629,278.12,81,75,9.0,RU,1675115341
127,road town,18.4257,-64.6232,300.14,78,40,4.63,VG,1675115341
128,lamu,-2.2675,40.9011,298.28,89,56,4.76,KE,1675115342
129,zhob,31.3397,69.4477,277.2,52,0,0.68,PK,1675115342
130,kutahya,39.4199,29.9858,270.91,95,100,1.55,TR,1675115343
131,pueblo nuevo,40.4264,-3.6357,278.77,66,0,2.06,ES,1675115344
132,gacko,43.1664,18.5358,267.01,91,72,1.32,BA,1675115344
133,vaitupu,-7.4769,178.6808,300.41,80,100,5.53,TV,1675115345
134,alice springs,-23.6984,133.8813,295.9,94,100,0.0,AU,1675115345
135,prainha,-1.8073,-53.4798,299.12,78,83,1.25,BR,1675115346
136,broome,-17.9567,122.224,301.09,83,75,4.63,AU,1675115347
137,provideniya,64.4237,-173.2274,271.48,86,100,4.02,RU,1675115348
138,lasa,50.4292,2.832,278.21,78,10,2.79,FR,1675115348
139,hithadhoo,1.7959,73.3876,300.03,71,95,3.47,MV,1675115349
140,harrisonville,38.6551,-94.3471,267.51,57,9,4.12,US,1675115349
141,mackay,-21.142,149.1865,299.62,75,100,4.21,AU,1675115350
142,great falls,47.5049,-111.2919,265.02,73,100,9.77,US,1675115351
143,itoman,26.106,127.6861,284.37,69,20,2.06,JP,1675115351
144,sompeta,18.9425,84.584,293.63,66,69,1.74,IN,1675115352
145,tsentralnyy,48.7219,44.5316,273.82,86,75,5.0,RU,1675115353
146,fernley,39.6048,-119.2405,271.08,37,0,0.45,US,1675115353
147,kulhudhuffushi,6.6233,73.0695,299.52,74,43,3.74,MV,1675115354
148,esperance,-33.8582,121.8932,291.75,86,38,5.31,AU,1675115062
149,lingao,19.9103,109.6859,288.93,85,60,1.29,CN,1675115356
150,bonthe,7.5273,-12.502,298.41,84,76,2.12,SL,1675115356
151,amderma,69.7522,61.6623,258.33,93,97,4.25,RU,1675115357
152,mendoza,-32.8894,-68.8446,307.77,31,20,2.57,AR,1675115358
153,tsihombe,-25.3185,45.4841,296.01,71,99,3.82,MG,1675115358
154,norman wells,65.2824,-126.8327,254.17,71,20,3.6,CA,1675115359
155,souillac,44.898,1.4694,277.1,86,100,1.35,FR,1675115360
156,kharitonovo,61.3981,47.4992,266.18,91,100,5.34,RU,1675115360
157,ilam,33.6379,46.4203,280.75,87,75,5.14,IR,1675115361
158,cururupu,-1.8243,-44.873,296.91,93,100,1.13,BR,1675115361
159,warwick,52.2815,-1.5816,278.68,89,42,3.44,GB,1675115362
160,kijang,0.8502,104.6028,298.14,90,100,5.81,ID,1675115363
161,korla,41.7239,86.1735,266.73,59,100,0.42,CN,1675115363
162,nizhneangarsk,55.7836,109.5718,255.53,83,100,2.9,RU,1675115364
163,bereda,11.2135,8.3926,296.47,18,70,3.09,NG,1675115364
164,riyadh,24.6389,46.716,289.36,37,1,4.47,SA,1675115365
165,maloy,40.6747,-94.4119,262.63,55,34,3.58,US,1675115365
166,saint george,12.0535,-61.7518,300.64,69,20,4.12,GD,1675115366
167,guanica,17.9751,-66.91,301.58,65,60,3.34,PR,1675115367
168,faanui,-16.4824,-151.7338,299.92,74,53,6.49,PF,1675115367
169,delijan,33.988,50.6863,278.25,86,97,2.92,IR,1675115368
170,bluff,-46.5988,168.3434,291.66,74,78,2.52,NZ,1675115368
171,fez,34.0347,-5.0162,282.23,57,40,2.57,MA,1675115369
172,sherpur,24.6649,89.4203,290.78,56,3,3.14,BD,1675115370
173,saldanha,-32.9978,17.9456,294.3,73,0,3.78,ZA,1675115370
174,nemuro,43.3301,145.5829,267.93,88,100,6.2,JP,1675115371
175,hasaki,35.753,140.8201,273.83,49,82,6.97,JP,1675115371
176,pangai,-19.8055,-174.3489,302.18,74,20,2.57,TO,1675115372
177,joshimath,30.5556,79.5613,271.85,58,20,4.34,IN,1675115372
178,lompoc,34.6392,-120.4579,288.62,66,75,1.34,US,1675115373
179,belo oriente,-19.2233,-42.4807,302.05,90,90,1.18,BR,1675115374
180,marzuq,14.3925,46.4701,287.3,78,60,2.06,YE,1675115374
181,cayenne,4.9371,-52.3258,298.16,88,100,1.54,GF,1675115375
182,peniche,39.3566,-9.3813,282.07,69,0,4.23,PT,1675115375
183,nyurba,63.2866,118.3541,235.89,98,99,1.24,RU,1675115376
184,vardo,70.3308,30.9618,270.53,86,75,6.69,NO,1675115377
185,barra do garcas,-15.8916,-52.2615,299.42,83,75,0.0,BR,1675115378
186,lebu,-37.61,-73.6559,289.45,76,0,10.27,CL,1675115378
187,havre-saint-pierre,50.2464,-63.6004,265.12,73,100,5.66,CA,1675115379
188,conakry,9.5171,-13.6998,299.49,68,76,2.62,GN,1675115379
189,mehamn,71.039,27.8518,275.12,75,75,7.2,NO,1675115380
190,luanda,-8.8273,13.244,301.17,78,75,3.6,AO,1675115380
191,arkhangelsk,64.543,40.5371,270.21,92,75,5.0,RU,1675115381
192,nanakuli,21.3891,-158.1523,297.16,69,20,4.63,US,1675115381
193,laguna,-28.4837,-48.7817,297.84,87,97,4.94,BR,1675115382
194,namibe,-15.1951,12.1458,295.56,77,100,1.87,AO,1675115382
195,sawtell,-30.369,153.1003,297.1,83,82,4.12,AU,1675115383
196,sola,37.5665,126.978,270.84,80,20,2.06,KR,1675115182
197,brigantine,39.4101,-74.3646,285.26,76,20,4.92,US,1675115384
198,sokoni,-3.4068,36.6782,295.44,56,0,0.0,TZ,1675115384
199,longyearbyen,78.22,15.65,256.11,93,81,3.26,SJ,1675114986
200,ushtobe,45.2514,77.9838,259.35,91,68,1.34,KZ,1675115385
201,tiksi,71.6366,128.8685,243.17,98,100,2.44,RU,1675115385
202,labuhan,-6.892,112.9897,298.67,89,100,2.42,ID,1675115386
203,umzimvubu,-30.8249,28.9218,286.5,97,99,1.3,ZA,1675115386
204,beloha,-25.1737,45.061,295.77,69,83,4.29,MG,1675115387
205,mys shmidta,68.8929,-179.4131,262.98,95,100,3.36,RU,1675115387
206,polunochnoye,60.8693,60.4253,252.77,98,35,1.39,RU,1675115388
207,canutama,-6.533,-64.3835,299.06,86,92,0.55,BR,1675115388
208,samusu,-13.9974,-171.4289,301.12,76,99,6.87,WS,1675115389
209,chapais,49.783,-74.8573,253.01,97,100,1.44,CA,1675115389
210,suntar,62.1575,117.6463,241.31,98,100,2.1,RU,1675115390
211,ponta do sol,32.6811,-17.1041,289.33,71,81,3.35,PT,1675115391
212,ilhabela,-23.8166,-45.3687,298.52,86,100,2.89,BR,1675115391
213,kruisfontein,-34.012,24.7433,293.15,81,83,6.37,ZA,1675115392
214,nuzvid,16.7907,80.8476,291.87,95,20,1.69,IN,1675115392
215,smithers,54.7792,-127.1761,261.33,61,75,0.0,CA,1675115393
216,yulara,-25.241,130.9869,295.94,61,86,3.48,AU,1675115393
217,kamenka,53.185,44.0529,268.2,92,100,6.12,RU,1675115394
218,katha,24.1717,96.3431,288.81,73,0,0.6,MM,1675115395
219,datia,25.665,78.4586,285.79,78,19,2.81,IN,1675115395
220,guicheng,23.0373,113.191,283.18,60,3,1.42,CN,1675115396
221,lodeynoye pole,60.7339,33.5458,273.57,97,100,5.3,RU,1675115396
222,del rio,29.3655,-100.8947,279.14,78,100,7.2,US,1675115397
223,imeni poliny osipenko,52.4228,136.4894,236.85,100,100,1.12,RU,1675115397
224,port lavaca,28.615,-96.6261,280.92,93,100,7.2,US,1675115398
225,novonikolayevskiy,50.9749,42.3663,272.47,95,100,1.79,RU,1675115398
226,prince rupert,54.3134,-130.3266,276.06,65,100,8.75,CA,1675114949
227,half moon bay,52.3472,-114.1766,264.96,68,84,1.97,CA,1675115399
228,mar del plata,-37.9977,-57.5483,298.02,84,20,10.8,AR,1675115400
229,ola,35.0323,-93.2232,276.12,89,100,1.71,US,1675115316
